,folderName,precisionDetection,recallDetection,fscoreDetection,fireRate,precisionRepair,recallRepair,fscoreRepair,time,tpDetection,fpDetection,fnDetection,tnDetection,tpRepair,fpRepair,fnRepair,tnRepair,skippedColumns
17,BLM_NV_Land_Use_Planning_Area_Existing_Polygons,1.0,0.4545454545454545,0.625,0.0444444444444444,0.8,0.4,0.5333333333333333,12.841476917266846,10,0,12,203,8,2,12,203,lupanm;bndryinac;gisacres;lastedi_one;shape_length;shape_area
18,BLM_OR_Administrative_Unit_Office_Point_Hub,0.875,0.358974358974359,0.509090909090909,0.0555555555555555,0.625,0.2857142857142857,0.392156862745098,110.09232544898988,14,2,25,247,10,6,25,247,y;admuname;apprvdt;effdt;globalid
19,BLM_OR_Other_National_Designation_Polygon_Hub,0.7083333333333334,0.4473684210526316,0.5483870967741936,0.1008403361344537,0.5,0.3636363636363636,0.4210526315789474,9.109578847885132,17,7,21,193,12,12,21,193,ondname;shape_length;shape_area
20,BLM_OR_SEORMP_FEIS_Lands_with_Wilderness_Characteristics_Polygon_Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
21,BLM_UT_Congressionally_Designated_Recreation_Areas_(Polygon),1.0,0.1428571428571428,0.25,0.0256410256410256,1.0,0.1428571428571428,0.25,6.33787202835083,2,0,12,64,2,0,12,64,recsname;recstype;global_id;shape_length;shape_area
22,BLM_UT_National_Scenic_and_Historic_Trails_(Arc),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
23,cdph_ssi_nosurgfac_odp_2019,1.0,0.2,0.3333333333333333,0.0145454545454545,0.5,0.1111111111111111,0.1818181818181818,53.46173000335693,4,0,16,255,2,2,16,255,hai;facilityname;facilitytype;notes
24,Census_Tract_Boundary,0.5,0.2222222222222222,0.3076923076923076,0.0151515151515151,0.5,0.2222222222222222,0.3076923076923076,13.931284189224243,4,4,14,506,4,4,14,506,namelsad;shape_area;shape_length
25,Centers_for_Medicare_&amp;_Medicaid_Services_(CMS)_EHR_Incentive_Program_Measures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
26,CT_305b_Assessed_Lake_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
27,Detroit_Future_City_50_Year_Land_Use_Zones,1.0,0.25,0.4,0.0294117647058823,0.0,0.0,0.0,0.2604880332946777,1,0,3,30,0,1,3,30,
28,Emergency_Operating_Center_Tools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2129733562469482,0,0,4,17,0,0,4,17,
29,Environmental_Justice_Block_Groups_2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
30,Field_Listings,0.8979591836734694,0.6139534883720931,0.7292817679558012,0.0753073770491803,0.4421768707482993,0.4391891891891892,0.4406779661016949,194.90672636032104,132,15,83,1722,65,82,83,1722,field_name;facility;neighborhood;field_renovated
31,Global_Surface_Summary_of_the_Day_-_GSOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
32,Grocery_Stores_-_2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
33,Health_conditions_among_children_under_age_18__by_selected_characteristics__United_States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
34,High_School_Attendance_Areas,0.8947368421052632,0.3333333333333333,0.4857142857142856,0.0633333333333333,0.5789473684210527,0.2444444444444444,0.34375,40.90671753883362,17,2,34,247,11,8,34,247,streetname;homeurl;global_id;creation_date;edit_date;shape_area;shape_length
35,Historic_Zoning_Overlay_Districts,1.0,0.0769230769230769,0.1428571428571428,0.0111111111111111,0.0,0.0,0.0,3.709617853164673,1,0,12,77,0,1,12,77,distname;creation_date;edit_date;shape_length
36,Illinois_Obesity_By_County,0.6666666666666666,0.8235294117647058,0.7368421052631577,0.0686274509803921,0.4761904761904761,0.7692307692307693,0.588235294117647,98.48280382156372,14,7,3,282,10,11,3,282,shape_length;shape_area
37,Impaired_Estuary_2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
38,Impaired_Lake_2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02241897583008,0,0,0,188,0,0,0,188,namevalue;locationvalue;aquaticlife;recreation;fishconsumption;drinkingwatersupply;shape_area;shape_length
39,Impaired_Lake_2012,1.0,0.2307692307692307,0.375,0.0127659574468085,0.0,0.0,0.0,41.750885009765625,3,0,10,222,0,3,10,222,id_three_zero_five_b;namevalue;locationvalue;aquaticlife;recreation;fishconsumption;drinkingwatersupply;shape_area;shape_length
40,Impaired_Lake_2020,1.0,0.2619047619047619,0.4150943396226415,0.0271604938271604,0.6363636363636364,0.1842105263157894,0.2857142857142857,94.55378913879396,11,0,31,363,7,4,31,363,assessmentunitid;assessmentunitname;locationdescription;watertypename;useclassname;ct_two_zero_two_zero_aql_use_usename;ct_two_zero_two_zero_fshcon_use_usename;ct_two_zero_two_zero_dw_use_usename;ct_two_zero_two_zero_aql_use_attainment;ct_two_zero_two_zero_rec_use_attainment;ct_two_zero_two_zero_fshcon_use_attainment;ct_two_zero_two_zero_dw_use_attainment;shape_area;shape_length
41,Jefferson_County_KY_Post_Offices,0.8,0.5714285714285714,0.6666666666666666,0.0625,0.6,0.5,0.5454545454545454,37.78692746162415,8,2,6,144,6,4,6,144,x;y;address;url
42,KEEDPublishingSocioEconomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
43,ksd244data646630094_schd_view,0.2941176470588235,0.7142857142857143,0.4166666666666667,0.0069958847736625,0.2941176470588235,0.7142857142857143,0.4166666666666667,57.59633088111877,5,12,2,2411,5,12,2,2411,namevalue;areaname
44,LA_County_COVID_Cases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
45,Legislative_Bridge_Names,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
46,Louisville_KY_Metro_Council_Districts,1.0,0.3529411764705882,0.5217391304347826,0.0288461538461538,0.6666666666666666,0.2666666666666666,0.3809523809523809,31.58690094947815,6,0,11,191,4,2,11,191,counname;counadd;counloc;counemail;counweb;shapearea;shapelen
47,Louisville_KY_Metro_Council_Districts_-_Former_from_2011,1.0,0.5714285714285714,0.7272727272727273,0.0576923076923076,0.75,0.5,0.6,20.583219051361084,12,0,9,187,9,3,9,187,counname;counadd;counloc;counemail;counweb;shapearea;shapelen
48,Louisville_Metro_KY_-_Inspection_Results_Pools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
49,Louisville_Metro_KY_-_Inspection_Results_School_Food_Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
50,Louisville_Metro_KY_-_List_of_Locations_with_COVID_Related_Complaint_With_No_Violations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
51,Louisville_Metro_KY_-_List_of_Locations_with_COVID_Related_Random_Survey_With_No_Violations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
52,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,1.0,0.6621621621621622,0.7967479674796748,0.0415606446140797,0.8367346938775511,0.6212121212121212,0.7130434782608696,72.75340867042542,49,0,25,1105,41,8,25,1105,facilitytypedescription;premisename;premiseaddress;openingdate
53,Louisville_Metro_KY_-_Permitted_Mobile_Home_Rec_Vehicle_Parks,0.5,0.6,0.5454545454545454,0.0241935483870967,0.5,0.6,0.5454545454545454,12.649835109710692,3,3,2,240,3,3,2,240,facilitytypedescription;subtypedescription;premisename;premiseaddress;openingdate
54,Louisville_Metro_KY_-_Permitted_Swimming_Areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
55,Low-income_or_Disadvantaged_Communities_Designated_by_California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
56,Market_Analysis_by_Agency,0.8611111111111112,0.5849056603773585,0.696629213483146,0.0918367346938775,0.3611111111111111,0.3714285714285714,0.3661971830985915,120.10475397109984,31,5,22,334,13,23,22,334,agency_name
57,Median_Household_Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
58,Medicare_Part_D_Opioid_Prescribing_Rates_-_by_Geography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
59,mrsa-in-hospitals-2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
60,mrsa-in-rehab-facilities-2015,0.7777777777777778,0.35,0.4827586206896551,0.0285714285714285,0.2222222222222222,0.1333333333333333,0.1666666666666666,140.22190284729004,14,4,26,586,4,14,26,586,hai;facilitynameone;notes
61,MVA_Vehicle_Sales_Counts_by_Month_for_Calendar_Year_2002_through_August_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
62,National_Obesity_By_State_1,0.8333333333333334,0.3846153846153846,0.5263157894736842,0.0384615384615384,0.1666666666666666,0.1111111111111111,0.1333333333333333,49.19210457801819,5,1,8,142,1,5,8,142,shapelength;shapearea
63,Neighborhood_Design_Guidelines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.246383905410767,0,0,0,75,0,0,0,75,nsdrganam;baname;effdate;linkurl;shape_area;shape_length
64,nhd_ftypes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1185417175292969,0,0,15,99,0,0,15,99,ftypedescription
65,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
66,ODOT_Life_Lines,0.7142857142857143,0.5737704918032787,0.6363636363636364,0.052127659574468,0.5102040816326531,0.4901960784313725,0.5,314.7030737400055,35,14,26,865,25,24,26,865,descriptio;shape_length
67,Oklahoma_Technology_Centers,0.9090909090909092,0.425531914893617,0.5797101449275361,0.0555555555555555,0.5,0.2894736842105263,0.3666666666666667,98.68161416053772,20,2,27,347,11,11,27,347,technologycenternames;address;url;locationvalue
68,Oregon_State_Government_Buildings,0.8444444444444444,0.4175824175824176,0.5588235294117647,0.0551470588235294,0.7333333333333333,0.3837209302325581,0.5038167938931298,155.68577098846436,38,7,53,718,33,12,53,718,x;y;namevalue;address;directions;naicsdescr;agencies
69,Parking_Tiers,0.9166666666666666,0.4852941176470588,0.6346153846153846,0.0572337042925278,0.25,0.2045454545454545,0.225,227.96033549308777,33,3,35,558,9,27,35,558,shape_length;shape_area
70,Parks_and_Recreation_Facilities,0.0,0.0,0.0,0.0178571428571428,0.0,0.0,0.0,15.77370262145996,0,3,0,165,0,3,0,165,facility_type;facility_name;seasonof_operation;facility_address;main_feature;secondary_feature;tertiary_feature;quaternary_feature;maps
71,Park_Boundaries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.493363380432127,0,0,0,56,0,0,0,56,park_name;park_address;shape_area;shape_length
72,Polling_Places,0.746268656716418,0.4273504273504273,0.5434782608695653,0.0858974358974359,0.1492537313432835,0.1298701298701298,0.1388888888888888,1021.4269139766692,50,17,67,646,10,57,67,646,x;y;namevalue;fulladd;operhours;nextelect;regdate;contact;email;regelectinfo;createddate;lastediteddate
73,Poverty_rate_-_ACS_2016-2020_-_Tempe_Tracts,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.0107206670637284,0.0,0.0,0.0,46.50131440162659,3,15,6,1655,0,18,6,1655,namevalue;shape_area;shape_length
74,Private_Roads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
75,Product_Data_for_Newly_Reported_Drugs_in_the_Medicaid_Drug_Rebate_Program_20211101_to_20211107,0.8,0.4444444444444444,0.5714285714285714,0.0324675324675324,0.2,0.1666666666666666,0.1818181818181818,6.629807949066162,8,2,10,288,2,8,10,288,fda_name_product_name
76,Rates_of_Preventable_Hospitalizations_for_Selected_Medical_Conditions_by_County_(LGHC_Indicator),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
77,Regional_Tier_Graduation_Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1985180377960205,0,0,5,19,0,0,5,19,
78,ResidentialPipeline,0.9032258064516128,0.5714285714285714,0.7000000000000001,0.082010582010582,0.032258064516129,0.0454545454545454,0.0377358490566037,40.90051889419556,28,3,21,326,1,30,21,326,x;y;building_name;address;status_one;tenure
79,River_Main_Stem_Waterbodies_(WBID),1.0,0.9,0.9473684210526316,0.1216216216216216,0.0,0.0,0.0,35.06647109985352,9,0,1,64,0,9,1,64,wbname;wbdesc
80,Roadway_Borough_Areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
81,Roadway_Overlaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
82,Seattle_Police_Department_Micro_Community_Policing_Plans_(Web_Mercator),0.5806451612903226,0.75,0.6545454545454547,0.1781609195402299,0.064516129032258,0.25,0.1025641025641025,1068.7183091640472,18,13,6,137,2,29,6,137,shape_length;shape_area
83,Shared_IT_Support_Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3929393291473388,0,0,3,18,0,0,3,18,
84,ssi-2016-ca-cdph-pedsapproved-11.29.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
85,ssi_no_surgery_facilities07312018,1.0,0.1666666666666666,0.2857142857142857,0.0219298245614035,0.4,0.074074074074074,0.125,120.97492861747742,5,0,25,198,2,3,25,198,hai;facilityname;notes
86,State_of_Oklahoma_Revolving_Funds_-_2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
87,State_of_Oklahoma_Revolving_Funds_-_2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
88,State_Route_Local_Names,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
89,s_firm_pan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
90,s_fld_haz_ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
91,Traffic_Cameras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
92,U.S._15_Minute_Precipitation_Data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
93,U.S._Daily_Climate_Normals_(1981-2010),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
94,Warden_Districts,1.0,0.3508771929824561,0.5194805194805194,0.0666666666666666,0.4,0.1777777777777777,0.2461538461538461,17.491146564483643,20,0,37,243,8,12,37,243,abname;email;address
95,total,0.8325842696629213,0.4596774193548387,0.592326139088729,0.042514569599694275,0.4404494382022472,0.3103721298495645,0.3641430562006502,4751.118152618408,741,149,871,19173,392,498,871,19173,
